Comment,Designator,Footprint,LCSC
1M,R4,R_0603_1608Metric,C13320
TPD4E05U06DQAR,U3,USON-TPDxE05U06,C138714
100nF,"C13,C7,C8,C9",C_0603_1608Metric,C14663
1uF,"C1,C10,C2",C_0603_1608Metric,C15849
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
4.7uF,"C11,C12,C5",C_0603_1608Metric,C19666
10uF,C4,C_0603_1608Metric,C19702
500mA,F1,Fuse_1206_3216Metric,C20799
BAT41ZFILM,D49,D_SOD-123,C222251
100k,"R1,R2,R6",R_0603_1608Metric,C22936
5.1k,"R3,R5",R_0603_1608Metric,C23186
SMF9.0CA,D50,D_SOD-123,C2990479
SW_Push,SW1,SW_SPST_SKQG_WithoutStem,C318884
4.7nF,C3,C_0603_1608Metric,C53987
10nF,C6,C_0603_1608Metric,C57112
MCP1700-3002E_SOT23,U1,SOT-23,C62244
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D5,D51,D6,D7,D8,D9",D_SOD-123,C81598
STM32F072CBUx,U2,LQFP-48_7x7mm_P0.5mm,C92504
DTC123J,Q1,SOT-23,C968329
MX-2U,K_BSPC2,MXOnly-2U-NoLED,
