Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,206.335002,-101.250593,180.0,bottom
C2,1uF,C_0603_1608Metric,206.4,-107.2,180.0,bottom
C3,4.7nF,C_0603_1608Metric,218.6,-89.0,90.0,bottom
C4,10uF,C_0603_1608Metric,213.6,-144.4,0.0,bottom
C5,4.7uF,C_0603_1608Metric,208.3,-144.4,0.0,bottom
C6,10nF,C_0603_1608Metric,209.0,-137.75,180.0,bottom
C7,100nF,C_0603_1608Metric,203.835003,-128.250593,270.0,bottom
C8,100nF,C_0603_1608Metric,214.4,-125.6,90.0,bottom
C9,100nF,C_0603_1608Metric,216.2,-134.55,90.0,bottom
C10,1uF,C_0603_1608Metric,209.0,-139.5,180.0,bottom
C11,4.7uF,C_0603_1608Metric,201.835002,-128.250593,270.0,bottom
C12,4.7uF,C_0603_1608Metric,216.2,-125.6,90.0,bottom
C13,100nF,C_0603_1608Metric,213.6,-137.6,180.0,bottom
D1,1N4148W,D_SOD-123,77.335002,-96.750593,90.0,bottom
D2,1N4148W,D_SOD-123,100.355001,-98.890593,90.0,bottom
D3,1N4148W,D_SOD-123,119.405,-98.890592,90.0,bottom
D4,1N4148W,D_SOD-123,139.407388,-100.045062,102.0,bottom
D5,1N4148W,D_SOD-123,158.041099,-104.00578,102.0,bottom
D6,1N4148W,D_SOD-123,176.674811,-107.966498,102.0,bottom
D7,1N4148W,D_SOD-123,195.308523,-111.927216,102.0,bottom
D8,1N4148W,D_SOD-123,232.009987,-110.372718,78.0,bottom
D9,1N4148W,D_SOD-123,250.643699,-106.412,78.0,bottom
D10,1N4148W,D_SOD-123,269.277411,-102.451283,78.0,bottom
D11,1N4148W,D_SOD-123,287.911123,-98.490565,78.0,bottom
D12,1N4148W,D_SOD-123,308.285001,-97.830593,90.0,bottom
D13,1N4148W,D_SOD-123,328.0,-103.95,90.0,bottom
D14,1N4148W,D_SOD-123,345.965001,-98.890593,90.0,bottom
D15,1N4148W,D_SOD-123,73.265001,-115.800593,90.0,bottom
D16,1N4148W,D_SOD-123,98.673751,-117.940592,90.0,bottom
D17,1N4148W,D_SOD-123,120.105001,-117.940593,90.0,bottom
D18,1N4148W,D_SOD-123,140.107387,-119.675062,102.0,bottom
D19,1N4148W,D_SOD-123,158.741099,-123.63578,102.0,bottom
D20,1N4148W,D_SOD-123,177.37481,-127.596498,102.0,bottom
D21,1N4148W,D_SOD-123,196.008523,-131.557215,102.0,bottom
D22,1N4148W,D_SOD-123,240.629987,-128.022717,78.0,bottom
D23,1N4148W,D_SOD-123,259.263699,-124.062,78.0,bottom
D24,1N4148W,D_SOD-123,277.897411,-120.101282,78.0,bottom
D25,1N4148W,D_SOD-123,296.531122,-116.140565,78.0,bottom
D26,1N4148W,D_SOD-123,316.905001,-117.940592,90.0,bottom
D27,1N4148W,D_SOD-123,343.098751,-117.940593,90.0,bottom
D28,1N4148W,D_SOD-123,99.261251,-136.990592,90.0,bottom
D29,1N4148W,D_SOD-123,125.455,-136.990592,90.0,bottom
D30,1N4148W,D_SOD-123,145.457387,-140.285063,102.0,bottom
D31,1N4148W,D_SOD-123,164.091099,-144.245779,102.0,bottom
D32,1N4148W,D_SOD-123,182.724811,-148.206497,102.0,bottom
D33,1N4148W,D_SOD-123,201.358523,-152.167215,102.0,bottom
D34,1N4148W,D_SOD-123,235.269987,-148.632717,78.0,bottom
D35,1N4148W,D_SOD-123,253.903699,-144.671999,78.0,bottom
D36,1N4148W,D_SOD-123,272.537411,-140.711281,78.0,bottom
D37,1N4148W,D_SOD-123,291.171123,-136.750563,78.0,bottom
D38,1N4148W,D_SOD-123,311.545001,-136.990592,90.0,bottom
D39,1N4148W,D_SOD-123,332.976251,-142.990592,90.0,bottom
D40,1N4148W,D_SOD-123,336.0,-142.990592,90.0,bottom
D41,1N4148W,D_SOD-123,96.880001,-156.040592,90.0,bottom
